date,account,category,amount,currency,converted amount,currency,description
08/08/2021,Bancolombia,Regalos,"-40,000",COP,"-40,000",COP,Regalo flores leidy
09/08/2021,Fiducuenta,Ahorros,"1,729.66",COP,"1,729.66",COP,Subió inversión
10/08/2021,Bancolombia,Depósitos,"9,692",COP,"9,692",COP,Descarga saldo tarjeta e prepago
10/08/2021,Fiducuenta,Facturas,"-6,892.63",COP,"-6,892.63",COP,Bajó inversión
10/08/2021,Bancolombia,To 'Tarjeta de crédito mastercard',"-339,785",COP,"-339,785",COP,Pago tarjeta crédito
11/08/2021,Fiducuenta,Ahorros,"9,601.9",COP,"9,601.9",COP,Subió inversión
11/08/2021,Bancolombia,To 'Tarjeta de crédito mastercard',"-75,076",COP,"-75,076",COP,Pago tarjeta crédito
11/08/2021,Bancolombia,To 'Tarjeta de crédito mastercard',"-23,878",COP,"-23,878",COP,Pago tarjeta crédito
12/08/2021,Fiducuenta,Ahorros,"19,894.73",COP,"19,894.73",COP,Subió inversión
13/08/2021,Bancolombia,Salario,"2,626,136",COP,"2,626,136",COP,Salario
13/08/2021,Fiducuenta,Ahorros,"3,460.2",COP,"3,460.2",COP,Subió inversión
13/08/2021,Bancolombia,Depósitos,"30,000",COP,"30,000",COP,Devolución préstamo leidy
13/08/2021,Bancolombia,Casa,"-63,196.56",COP,"-63,196.56",COP,Ajuste cuenta ahorros
14/08/2021,Bancolombia,To 'Tarjeta de crédito mastercard',"-26,900",COP,"-26,900",COP,Pago tarjeta crédito
15/08/2021,Efectivo,Entretenimiento,"-15,000",COP,"-15,000",COP,Cervezas viva envigado
15/08/2021,Efectivo,Depósitos,"90,000",COP,"90,000",COP,Dinero más que me da mi mamá
15/08/2021,Efectivo,Restaurante,"-15,000",COP,"-15,000",COP,Empanadas
15/08/2021,Efectivo,Restaurante,"-5,000",COP,"-5,000",COP,Agua
17/08/2021,Fiducuenta,Ahorros,"14,261.64",COP,"14,261.64",COP,Subió inversión
18/08/2021,Bancolombia,Salud,"-95,882",COP,"-95,882",COP,Plan preferencial sura
18/08/2021,Fiducuenta,Ahorros,"15,483.42",COP,"15,483.42",COP,Subió inversión
18/08/2021,Bancolombia,To 'Tarjeta de crédito mastercard',"-299,996",COP,"-299,996",COP,Pago tarjeta crédito
19/08/2021,Fiducuenta,Ahorros,"3,771.14",COP,"3,771.14",COP,Subió inversión
20/08/2021,Fiducuenta,Ahorros,"3,840.54",COP,"3,840.54",COP,Subió inversión
20/08/2021,Bancolombia,Casa,"-93,000",COP,"-93,000",COP,Declaración de renta
21/08/2021,Tarjeta crédito rappi,Transporte,-300,COP,-300,COP,Registro didi
21/08/2021,Tarjeta crédito rappi,Restaurante,"-53,900",COP,"-53,900",COP,Pollo frisby almuerzo
21/08/2021,Tarjeta crédito rappi,Restaurante,"-42,360",COP,"-42,360",COP,Rappi papas
21/08/2021,Bancolombia,Facturas,-488,COP,-488,COP,Rappi verificación
21/08/2021,Tarjeta crédito rappi,Initial balance 'Tarjeta crédito rappi',"800,000",COP,"800,000",COP,
21/08/2021,Bancolombia,To 'Tarjeta crédito rappi',"-54,200",COP,"-54,200",COP,Pago tarjeta crédito
21/08/2021,Bancolombia,To 'Tarjeta crédito rappi',"-42,360",COP,"-42,360",COP,Pago tarjeta crédito
21/08/2021,Tarjeta crédito rappi,From 'Bancolombia',"54,200",COP,"54,200",COP,Pago tarjeta crédito
21/08/2021,Tarjeta crédito rappi,From 'Bancolombia',"42,360",COP,"42,360",COP,Pago tarjeta crédito
23/08/2021,Fiducuenta,Ahorros,"15,256.31",COP,"15,256.31",COP,Subió inversión
23/08/2021,Bancolombia,Regalos,"-2,800",COP,"-2,800",COP,Regalo cumpleaños tpclient
23/08/2021,Bancolombia,To 'Tarjeta crédito rappi',"-88,967",COP,"-88,967",COP,Pago tarjeta crédito
23/08/2021,Tarjeta crédito rappi,From 'Bancolombia',"88,967",COP,"88,967",COP,Pago tarjeta crédito
24/08/2021,Fiducuenta,Ahorros,"9,739.55",COP,"9,739.55",COP,Subió inversión
25/08/2021,Fiducuenta,Ahorros,"4,340.06",COP,"4,340.06",COP,Subió inversión
26/08/2021,Fiducuenta,Ahorros,"7,978.47",COP,"7,978.47",COP,Subió inversión
27/08/2021,Fiducuenta,Facturas,"-4,968.02",COP,"-4,968.02",COP,Bajó inversión
28/08/2021,Efectivo,Transporte,"-9,000",COP,"-9,000",COP,Didi a casa Jessica
28/08/2021,Bancolombia,Restaurante,"-10,000",COP,"-10,000",COP,Pizza amigos Jessica
28/08/2021,Tarjeta crédito rappi,Transporte,"-33,126",COP,"-33,126",COP,Taxi a la casa
28/08/2021,Tarjeta crédito rappi,Transporte,"-11,528",COP,"-11,528",COP,Didi a casa leidy y pedregal
28/08/2021,Tarjeta crédito rappi,Transporte,"-5,000",COP,"-5,000",COP,Didi a casa de leidy
28/08/2021,Bancolombia,To 'Tarjeta crédito rappi',"-33,126",COP,"-33,126",COP,Pago tarjeta crédito
28/08/2021,Bancolombia,To 'Tarjeta crédito rappi',"-11,528",COP,"-11,528",COP,Pago tarjeta crédito
28/08/2021,Bancolombia,To 'Tarjeta crédito rappi',"-5,000",COP,"-5,000",COP,Pago tarjeta crédito
28/08/2021,Tarjeta crédito rappi,From 'Bancolombia',"33,126",COP,"33,126",COP,Pago tarjeta crédito
28/08/2021,Tarjeta crédito rappi,From 'Bancolombia',"11,528",COP,"11,528",COP,Pago tarjeta crédito
28/08/2021,Tarjeta crédito rappi,From 'Bancolombia',"5,000",COP,"5,000",COP,Pago tarjeta crédito
29/08/2021,Tarjeta crédito rappi,Transporte,"-11,376",COP,"-11,376",COP,Didi a suhi house 
29/08/2021,Bancolombia,Restaurante,"-124,600",COP,"-124,600",COP,Sushi house
29/08/2021,Tarjeta crédito rappi,Restaurante,"-48,300",COP,"-48,300",COP,Cocorollo laureles
29/08/2021,Tarjeta crédito rappi,Transporte,"-9,092",COP,"-9,092",COP,Didi a centro comercial Florida
29/08/2021,Tarjeta crédito rappi,Entretenimiento,"-43,200",COP,"-43,200",COP,Cine procinal con leidy y sofi
29/08/2021,Tarjeta crédito rappi,Entretenimiento,"-8,900",COP,"-8,900",COP,Comida procinal ice
29/08/2021,Efectivo,Entretenimiento,"-35,000",COP,"-35,000",COP,Happy city
29/08/2021,Tarjeta crédito rappi,Restaurante,"-24,800",COP,"-24,800",COP,KFC CC Florida
29/08/2021,Efectivo,Transporte,"-16,000",COP,"-16,000",COP,Didi a casa leidy y mi casa
29/08/2021,Efectivo,Depósitos,"50,000",COP,"50,000",COP,Reposición hermano leidy
29/08/2021,Bancolombia,Casa,"-498,000",COP,"-498,000",COP,Pago persianas
29/08/2021,Efectivo,Transporte,"-10,000",COP,"-10,000",COP,Carro para la tía gloria
29/08/2021,Bancolombia,To 'Tarjeta crédito rappi',"-145,668",COP,"-145,668",COP,Pago tarjeta crédito
29/08/2021,Tarjeta crédito rappi,From 'Bancolombia',"145,668",COP,"145,668",COP,Pago tarjeta crédito
30/08/2021,Fiducuenta,Ahorros,"16,987.11",COP,"16,987.11",COP,Subió inversión
30/08/2021,Tarjeta crédito rappi,Entretenimiento,"-29,400",COP,"-29,400",COP,Boletas Shang-Chi Florida
30/08/2021,Bancolombia,Salario,"2,626,336",COP,"2,626,336",COP,Salario
30/08/2021,Bancolombia,To 'Tarjeta crédito rappi',"-29,400",COP,"-29,400",COP,Pago tarjeta crédito
30/08/2021,Bancolombia,To 'Fiducuenta',"-100,000",COP,"-100,000",COP,Traslado fiducuenta
30/08/2021,Bancolombia,To 'Renta Fija Plazo',"-100,000",COP,"-100,000",COP,Traslado renta fija plazo
30/08/2021,Bancolombia,To 'Tyba comprar vivienda',"-50,000",COP,"-50,000",COP,Traslado tyba compra vivienda
30/08/2021,Bancolombia,To 'Tyba portafolio 8',"-50,000",COP,"-50,000",COP,Traslado tyba portafolio 8
30/08/2021,Tarjeta crédito rappi,From 'Bancolombia',"29,400",COP,"29,400",COP,Pago tarjeta crédito
30/08/2021,Fiducuenta,From 'Bancolombia',"100,000",COP,"100,000",COP,Traslado fiducuenta
31/08/2021,Bancolombia,Comida,"-94,026",COP,"-94,026",COP,Carnes en OR
31/08/2021,Fiducuenta,Ahorros,"2,664.79",COP,"2,664.79",COP,Subió inversión
31/08/2021,Bancolombia,Comida,"-836,017",COP,"-836,017",COP,Mercado OR
01/09/2021,Fiducuenta,Ahorros,"15,821.97",COP,"15,821.97",COP,Subió inversión
02/09/2021,Bancolombia,Salud,"-44,543",COP,"-44,543",COP,Emi
02/09/2021,Fiducuenta,Ahorros,"11,227.32",COP,"11,227.32",COP,Subió inversión
02/09/2021,Tarjeta crédito rappi,Entretenimiento,"-46,900",COP,"-46,900",COP,Pizza y crispetas procinal Florida
02/09/2021,Bancolombia,To 'Tarjeta crédito rappi',"-46,900",COP,"-46,900",COP,Pago tarjeta crédito
02/09/2021,Tarjeta crédito rappi,From 'Bancolombia',"46,900",COP,"46,900",COP,Pago tarjeta crédito
03/09/2021,Efectivo,Transporte,"-15,000",COP,"-15,000",COP,Didi a casa leidy y mi casa
03/09/2021,Tarjeta crédito rappi,Entretenimiento,"-29,000",COP,"-29,000",COP,Boletas After Cine colombia
03/09/2021,Fiducuenta,Facturas,"-2,978.52",COP,"-2,978.52",COP,Bajó inversión
03/09/2021,Bancolombia,Regalos,"-100,000",COP,"-100,000",COP,Terapia y operación hijo tío chepe
03/09/2021,Bancolombia,Casa,"-272,852",COP,"-272,852",COP,EPM Servicios
03/09/2021,Bancolombia,To 'Tarjeta crédito rappi',"-29,000",COP,"-29,000",COP,Pago tarjeta crédito
03/09/2021,Tarjeta crédito rappi,From 'Bancolombia',"29,000",COP,"29,000",COP,Pago tarjeta crédito
04/09/2021,Tarjeta crédito rappi,Transporte,"-7,000",COP,"-7,000",COP,Uber a niquia
04/09/2021,Tarjeta crédito rappi,Entretenimiento,"-24,500",COP,"-24,500",COP,BBC Cervezas
04/09/2021,Tarjeta crédito rappi,Ropa,"-139,800",COP,"-139,800",COP,Ropa koaj leidy y yo
04/09/2021,Tarjeta crédito rappi,Restaurante,"-35,800",COP,"-35,800",COP,Papas chip station
04/09/2021,Tarjeta crédito rappi,Transporte,"-25,400",COP,"-25,400",COP,Uber a la casa de leidy y mi casa
04/09/2021,Bancolombia,To 'Tarjeta crédito rappi',"-31,500",COP,"-31,500",COP,Pago tarjeta crédito
04/09/2021,Bancolombia,To 'Tarjeta crédito rappi',"-201,000",COP,"-201,000",COP,Pago tarjeta crédito
